"name","position","country","club"
"Yasser Al Mosailem","GK","Saudi Arabia","Al Ahli"
"Abdullah Al Mayouf","GK","Saudi Arabia","Al Hilal"
"Mansoor Al Harbi","DEF","Saudi Arabia","Al Ahli"
"Yasser Al ShahraniMohammed Al Breik","DEF","Saudi Arabia","Al Hilal"
"Motaz Hawsawi","DEF","Saudi Arabia","Al Ahli"
"Osama Hawsawi","DEF","Saudi Arabia","Al Hilal"
"Omar Hawsawi","DEF","Saudi Arabia","Al Nassr"
"Ali Al Bulaihi","DEF","Saudi Arabia","Al Hilal"
"Abdullah Al Khaibari","MID","Saudi Arabia","Al Shabab"
"Abdulmalek Al Khaibri","MID","Saudi Arabia","Al Hilal"
"Abdullah Otayf","MID","Saudi Arabia","Al Hilal"
"Taiseer Al Jassim","MID","Saudi Arabia","Al Ahli"
"Houssain Al Mogahwi","MID","Saudi Arabia","Al Ahli"
"Salman Al Faraj","MID","Saudi Arabia","Al Hilal"
"Mohamed Kanno","MID","Saudi Arabia","Al Hilal"
"Hattan Bahebri","MID","Saudi Arabia","Al Shabab"
"Salem Al Dawsari","MID","Saudi Arabia","Al Hilal"
"Yahya Al Shehri","MID","Saudi Arabia","Al Nassr"
"Fahad Al Muwallad","MID","Saudi Arabia","Al Ittihad"
"Mohammad Al Sahlawi","ATT","Saudi Arabia","Al Nassr"
"Muhannad Assiri","ATT","Saudi Arabia","Al Ahli"
"Martin Campana","GK","Uruguay","Independiente"
"Fernando Muslera","GK","Uruguay","Galatasaray"
"Martin Silva","GK","Uruguay","Vasco da Gama"
"Martin Caceres","DEF","Uruguay","Lazio"
"Sebastian Coates","DEF","Uruguay","Sporting CP"
"Jose Maria Gimenez","DEF","Uruguay","Atletico Madrid"
"Diego Godin","DEF","Uruguay","Atletico Madrid"
"Maximiliano Pereira","DEF","Uruguay","Porto"
"Gaston Silva","DEF","Uruguay","Independiente"
"Guillermo Varela","DEF","Uruguay","Penarol"
"Giorgian De Arrascaeta","MID","Uruguay","Cruzeiro"
"Rodrigo Bentancur","MID","Uruguay","Juventus"
"Diego Laxalt","MID","Uruguay","Genoa"
"Nahitan Nandez","MID","Uruguay","Boca Juniors"
"Cristian Rodriguez","MID","Uruguay","Penarol"
"Carlos Sanchez","MID","Uruguay","Monterrey"
"Lucas Torreira","MID","Uruguay","Sampdoria"
"Matias Vecino","MID","Uruguay","Inter"
"Jonathan Urretaviscaya","MID","Uruguay","Monterrey"
"Edinson Cavani","ATT","Uruguay","Paris St-Germain"
"Maximiliano Gomez","ATT","Uruguay","Celta Vigo"
"Luis Suarez","ATT","Uruguay","Barcelona"
"Cristhian Stuani","ATT","Uruguay","Girona"
"Alireza Beyranvand","GK","Iran","Persepolis"
"Rashid Mazaheri","GK","Iran","Zob Ahan"
"Amir Abedzadeh","GK","Iran","Maritimo"
"Majid Hosseini","DEF","Iran","Esteghlal"
"Ramin Rezaeian","DEF","Iran","Ostende"
"Mohammad Reza Khanzadeh","DEF","Iran","Padideh"
"Morteza Pouraliganji","DEF","Iran","Alsaad"
"Pejman Montazeri","DEF","Iran","Esteghlal"
"Milad Mohammadi","DEF","Iran","Akhmat Grozny"
"Roozbeh Cheshmi","DEF","Iran","Esteghlal"
"Ehsan Hajsafi","DEF","Iran","Olympiacos"
"Saeid Ezatollahi","MID","Iran","Amkar Perm"
"Masoud Shojaei","MID","Iran","AEK Athens"
"Mehdi Torabi","MID","Iran","Saipa"
"Omid Ebrahimi","MID","Iran","Esteghlal"
"Karim Ansarifard","MID","Iran","Olympiacos"
"Alireza Jahanbakhsh","ATT","Iran","AZ Alkmaar"
"Mahdi Taremi","ATT","Iran","Al Gharafa"
"Sardar Azmoun","ATT","Iran","Rubin Kazan"
"Reza Ghoochannejhad","ATT","Iran","Heerenveen"
"Saman Ghoddos","ATT","Iran","Ostersunds"
"Ashkan Dejagah","ATT","Iran","Nottingham Forest"
"Vahid Amiri","ATT","Iran","Persepolis"
"Mounir El Kajoui","GK","Morroco","Numancia"
"Yassine Bounou","GK","Morroco","Girona"
"Ahmad Reda Tagnaouti","GK","Morroco","Ittihad Tanger"
"Mehdi Benatia","DEF","Morroco","Juventus"
"Romain Saiss","DEF","Morroco","Wolves"
"Manuel Da Costa","DEF","Morroco","Basaksehir"
"Nabil Dirar","DEF","Morroco","Fenerbahce"
"Achraf Hakimi","DEF","Morroco","Real Madrid"
"Hamza Mendyl","DEF","Morroco","Lille"
"M'barek Boussoufa","MID","Morroco","Al Jazira"
"Karim El Ahmadi","MID","Morroco","Feyenoord"
"Youssef Ait Bennasser","MID","Morroco","Caen"
"Sofyan Amrabat","MID","Morroco","Feyenoord"
"Younes Belhanda","MID","Morroco","Galatasaray"
"Faycal Fajr","MID","Morroco","Getafe"
"Amine Harit","MID","Morroco","Schalke 04"
"Khalid Boutaib","ATT","Morroco","Malatyaspor"
"Aziz Bouhaddouz","ATT","Morroco","Saint Pauli"
"Ayoub El Kaabi","ATT","Morroco","Renaissance Berkane"
"Nordin Amrabat","ATT","Morroco","Leganes"
"Mehdi Carcela","ATT","Morroco","Standard de Liege"
"Hakim Ziyech","ATT","Morroco","Ajax"
"Youssef En Nesyri","ATT","Morroco","Malaga"
"Anthony Lopes","GK","Portugal","Lyon"
"Beto","GK","Portugal","Goztepe"
"Rui Patricio","GK","Portugal","Sporting Lisbon"
"Bruno Alves","DEF","Portugal","Rangers"
"Cedric Soares","DEF","Portugal","Southampton"
"Jose Fonte","DEF","Portugal","Dalian Yifang"
"Mario Rui","DEF","Portugal","Napoli"
"Pepe","DEF","Portugal","Besiktas"
"Raphael Guerreiro","DEF","Portugal","Borussia Dortmund"
"Ricardo Pereira","DEF","Portugal","Porto"
"Ruben Dias","DEF","Portugal","Benfica"
"Adrien Silva","MID","Portugal","Leicester"
"Bruno Fernandes","MID","Portugal","Sporting Lisbon"
"Joao Mario","MID","Portugal","West Ham"
"Joao Moutinho","MID","Portugal","AS Monaco"
"Manuel Fernandes","MID","Portugal","Lokomotiv Moscow"
"William Carvalho","MID","Portugal","Sporting"
"Andre Silva","ATT","Portugal","AC Milan"
"Bernardo Silva","ATT","Portugal","Manchester City"
"Cristiano Ronaldo","ATT","Portugal","Real Madrid"
"Gelson Martins","ATT","Portugal","Sporting Lisbon"
"Goncalo Guedes","ATT","Portugal","Valencia"
"Ricardo Quaresma","ATT","Portugal","Besiktas"
"David de Gea","GK","Spain","Manchester United"
"Pepe Reina","GK","Spain","Napoli"
"Kepa Arrizabalaga","GK","Spain","Athletic Bilbao"
"Jordi Alba","DEF","Spain","Barcelona"
"Nacho Monreal","DEF","Spain","Arsenal"
"Alvaro Odriozola","DEF","Spain","Real Sociedad"
"Nacho Fernandez","DEF","Spain","Real Madrid"
"Dani Carvajal","DEF","Spain","Real Madrid"
"Gerard Pique","DEF","Spain","Barcelona"
"Sergio Ramos","DEF","Spain","Real Madrid"
"Cesar Azpilicueta","DEF","Spain","Chelsea"
"Sergio Busquets","MID","Spain","Barcelona"
"Isco","MID","Spain","Real Madrid"
"Thiago Alcantara","MID","Spain","Bayern Munich"
"David Silva","MID","Spain","Manchester City"
"Andres Iniesta","MID","Spain","Barcelona"
"Saul Niguez","MID","Spain","Atletico Madrid"
"Koke","MID","Spain","Atletico Madrid"
"Marco Asensio","ATT","Spain","Real Madrid"
"Iago Aspas","ATT","Spain","Celta Vigo"
"Diego Costa","ATT","Spain","Atletico Madrid"
"Rodrigo Moreno","ATT","Spain","Valencia"
"Lucas Vazquez","ATT","Spain","Real Madrid"
"Brad Jones","GK","Australia","Feyenoord"
"Mat Ryan","GK","Australia","Brighton"
"Danny Vukovic","GK","Australia","Genk"
"Aziz Behich","DEF","Australia","Bursaspor"
"Milos Degenek","DEF","Australia","Yokohama F Marinos"
"Matthew Jurman","DEF","Australia","Suwon Samsung Blue Wings"
"James Meredith","DEF","Australia","Millwall"
"Josh Risdon","DEF","Australia","Western Sydney"
"Trent Sainsbury","DEF","Australia","Grasshopper Zurich"
"Jackson Irvine","MID","Australia","Hull City"
"Mile Jedinak","MID","Australia","Aston Villa"
"Robbie Kruse","MID","Australia","VfL Bochum"
"Massimo Luongo","MID","Australia","QPR"
"Mark Milligan","MID","Australia","Al-Ahli"
"Aaron Mooy","MID","Australia","Huddersfield"
"Tom Rogic","MID","Australia","Celtic"
"Tim Cahill","MID","Australia","Millwall"
"Daniel Arzani","ATT","Australia","Melbourne City"
"Tomi Juric","ATT","Australia","Luzern"
"Mathew Leckie","ATT","Australia","Hertha Berlin"
"Andrew Nabbout","ATT","Australia","Urawa Red Diamonds"
"Dimitri Petratos","ATT","Australia","Newcastle Jets"
"Jamie Maclaren","ATT","Australia","Hibernian"
"Kasper Schmeichel","GK","Denmark","Leicester"
"Jonas Lossl","GK","Denmark","Huddersfield"
"Frederik Ronow","GK","Denmark","Brondby"
"Simon Kjaer","DEF","Denmark","Sevilla"
"Andreas Christensen","DEF","Denmark","Chelsea"
"Mathias Jorgensen","DEF","Denmark","Huddersfield"
"Jannik Vestergaard","DEF","Denmark","Borussia Moenchengladbach"
"Henrik Dalsgaard","DEF","Denmark","Brentford"
"Jens Stryger","DEF","Denmark","Udinese"
"Jonas Knudsen","DEF","Denmark","Ipswich"
"William Kvist","MID","Denmark","FC Copenhagen"
"Thomas Delaney","MID","Denmark","Werder Bremen"
"Lukas Lerager","MID","Denmark","Bordeaux"
"Lasse Schone","MID","Denmark","Ajax"
"Christian Eriksen","MID","Denmark","Tottenham"
"Michael Krohn-Dehli","MID","Denmark","Deportivo La Coruna"
"Pione Sisto","ATT","Denmark","Celta Vigo"
"Martin Braithwaite","ATT","Denmark","Bordeaux"
"Andreas Cornelius","ATT","Denmark","Atalanta"
"Viktor Fischer","ATT","Denmark","FC Copenhagen"
"Yussuf Poulsen","ATT","Denmark","RB Leipzig"
"Nicolai Jorgensen","ATT","Denmark","Feyenoord"
"Kasper Dolberg","ATT","Denmark","Ajax"
"Hugo Lloris","GK","France","Tottenham Hotspur"
"Steve Mandanda","GK","France","Marseille"
"Alphonse Areola","GK","France","Paris Saint-Germain"
"Lucas Hernandez","DEF","France","Atletico Madrid"
"Presnel Kimpembe","DEF","France","Paris Saint-Germain"
"Benjamin Mendy","DEF","France","Manchester City"
"Benjamin Pavard","DEF","France","Stuttgart"
"Adil Rami","DEF","France","Marseille"
"Djibril Sidibe","DEF","France","Monaco"
"Samuel Umtiti","DEF","France","Barcelona"
"Raphael Varane","DEF","France","Real Madrid"
"N'Golo Kante","MID","France","Chelsea"
"Blaise Matuidi","MID","France","Juventus"
"Steven N'Zonzi","MID","France","Sevilla"
"Paul Pogba","MID","France","Manchester United"
"Corentin Tolisso","MID","France","Bayern Munich"
"Ousmane Dembele","ATT","France","Barcelona"
"Nabil Fekir","ATT","France","Lyon"
"Olivier Giroud","ATT","France","Chelsea"
"Antoine Griezmann","ATT","France","Atletico Madrid"
"Thomas Lemar","ATT","France","Monaco"
"Kylian Mbappe","ATT","France","Paris Saint-Germain"
"Florian Thauvin","ATT","France","Marseille"
"Pedro Gallese","GK","Peru","Veracruz"
"Jose Carvallo","GK","Peru","UTC"
"Carlos Caceda","GK","Peru","Municipal"
"Luis Advincula","DEF","Peru","Lobos"
"Miguel Araujo","DEF","Peru","Alianza Lima"
"Aldo Corzo","DEF","Peru","Universitario"
"Nilson Loyola","DEF","Peru","Melgar"
"Christian Ramos","DEF","Peru","Veracruz"
"Alberto Rodriguez","DEF","Peru","Junior Barranquilla"
"Anderson Santamaria","DEF","Peru","Puebla"
"Miguel Trauco","DEF","Peru","Flamengo"
"Pedro Aquino","MID","Peru","Lobos"
"Wilmer Cartagena","MID","Peru","Veracruz"
"Christian Cueva","MID","Peru","Sao Paulo"
"Edison Flores","MID","Peru","Aalborg"
"Paolo Hurtado","MID","Peru","Vitoria Guimaraes"
"Andy Polo","MID","Peru","Portland Timbers"
"Renato Tapia","MID","Peru","Feyenoord"
"Yoshimar Yotun","MID","Peru","Orlando City"
"Andre Carrillo","ATT","Peru","Watford"
"Raul Ruidiaz","ATT","Peru","Morelia"
"Jefferson Farfan","ATT","Peru","Lokomotiv Moscow"
"Paolo Guerrero","ATT","Peru","Flamengo"
"Willy Caballero","GK","Argentina","Chelsea"
"Franco Armani","GK","Argentina","River Plate"
"Nahuel Guzman","GK","Argentina","Tigres UANL"
"Gabriel Mercado","DEF","Argentina","Sevilla"
"Federico Fazio","DEF","Argentina","Roma"
"Nicolas Otamendi","DEF","Argentina","Manchester City"
"Marcos Rojo","DEF","Argentina","Manchester United"
"Nicolas Taglafico","DEF","Argentina","Ajax"
"Javier Mascherano","DEF","Argentina","Hebei Fortune"
"Marcos Acuna","DEF","Argentina","Sporting Lisbon"
"Cristian Ansaldi","DEF","Argentina","Torino"
"Ever Banega","MID","Argentina","Sevilla"
"Lucas Biglia","MID","Argentina","AC Milan"
"Angel Di Maria","MID","Argentina","Paris St-Germain"
"Giovani Lo Celso","MID","Argentina","Paris St-Germain"
"Enzo Perez","MID","Argentina","River Plate"
"Cristian Pavon","MID","Argentina","Boca Juniors"
"Maximiliano Meza","MID","Argentina","Independiente"
"Eduardo Salvio","MID","Argentina","Benfica"
"Lionel Messi","ATT","Argentina","Barcelona"
"Gonzalo Higuain","ATT","Argentina","Juventus"
"Paulo Dybala","ATT","Argentina","Juventus"
"Sergio Aguero","ATT","Argentina","Manchester City"
"Danijel Subasic","GK","Crotia","Monaco"
"Lovre Kalinic","GK","Crotia","Gent"
"Dominik Livakovic","GK","Crotia","Dinamo"
"Vedran Corluka","DEF","Crotia","Lokomotiv Moscow"
"Domagoj Vida","DEF","Crotia","Besiktas"
"Ivan Strinic","DEF","Crotia","Sampdoria"
"Dejan Lovren","DEF","Crotia","Liverpool"
"Sime Vrsaljko","DEF","Crotia","Atletico Madrid"
"Josip Pivaric","DEF","Crotia","Dynamo Kiev"
"Tin Jedvaj","DEF","Crotia","Bayer Leverkusen"
"Duje Caleta-Car","DEF","Crotia","Red Bull Salzburg"
"Luka Modric","MID","Crotia","Real Madrid"
"Ivan Rakitic","MID","Crotia","Barcelona"
"Mateo Kovacic","MID","Crotia","Real Madrid"
"Milan Badelj","MID","Crotia","Fiorentina"
"Marcelo Brozovic","MID","Crotia","Inter"
"Filip Bradaric","MID","Crotia","Rijeka"
"Mario Mandzukic","ATT","Crotia","Juventus"
"Ivan Perisic","ATT","Crotia","Inter"
"Nikola Kalinic","ATT","Crotia","Milan"
"Andrej Kramaric","ATT","Crotia","Hoffenheim"
"Marko Pjaca","ATT","Crotia","Schalke"
"Ante Rebic","ATT","Crotia","Eintracht"
"Hannes Thor Halldorsson","GK","Iceland","Randers FC"
"Runar Alex Runarsson","GK","Iceland","FC Nordsjælland"
"Frederik Schram","GK","Iceland","FC Roskilde"
"Kari Arnason","DEF","Iceland","Aberdeen"
"Ari Freyr Skulason","DEF","Iceland","KSC Lokeren Oost-Vlaanderen"
"Birkir Mar Saevarsson","DEF","Iceland","Hammarby"
"Sverrir Ingi Ingason","DEF","Iceland","FC Rostov"
"Hordur Magnusson","DEF","Iceland","Bristol City"
"Holmar Orn Eyjolfsson","DEF","Iceland","Maccabi Haifa"
"Ragnar Sigurdsson","DEF","Iceland","FC Rostov"
"Johann Berg Gudmundsson","MID","Iceland","Burnley"
"Birkir Bjarnason","MID","Iceland","Aston Villa"
"Arnor Ingvi Traustason","MID","Iceland","Malmo FF"
"Emil Hallfredsson","MID","Iceland","Udinese"
"Gylfi Sigurdsson","MID","Iceland","Everton"
"Olafur Ingi Skulason","MID","Iceland","Kardemir Karabukspor"
"Rurik Gislason","MID","Iceland","FC Nurnberg"
"Samuel Fridjonsson","MID","Iceland","Valerenga"
"Aron Gunnarsson","MID","Iceland","Cardiff City"
"Alfred Finnbogason","ATT","Iceland","FC Augsburg"
"Bjorn Bergmann Sigurdarson","ATT","Iceland","FC Rostov"
"Jon Dadi Bodvarsson","ATT","Iceland","Reading"
"Albert Gudmundsson","ATT","Iceland","PSV Eindhoven"
"Francis Uzoho","GK","Nigeria","Deportivo La Coruna"
"Ikechukwu Ezenwa","GK","Nigeria","Enyimba"
"Daniel Akpeyi","GK","Nigeria","Chippa United"
"William Troost-Ekong","DEF","Nigeria",""
"Abdullahi Shehu","DEF","Nigeria","Bursaspor"
"Tyronne Ebuehi","DEF","Nigeria","Ado Den Haag"
"Elderson Echiejile","DEF","Nigeria","Cercle Brugge KSV"
"Bryan Idowu","DEF","Nigeria","Amkar Perm"
"Chidozie Awaziem","DEF","Nigeria","Nantes FC"
"Leon Balogun","DEF","Nigeria","Brighton"
"Kenneth Omeruo","DEF","Nigeria","Kasimpasa"
"Mikel John Obi","MID","Nigeria","Tianjin Teda"
"Ogenyi Onazi","MID","Nigeria","Trabzonspor"
"Wilfred Ndidi","MID","Nigeria","Leicester City"
"Oghenekaro Etebo","MID","Nigeria","Las Palmas"
"John Ogu","MID","Nigeria","Hapoel Be'er Sheva"
"Joel Obi","MID","Nigeria","Torino"
"Italy)","MID","Nigeria","Italy"
"Ahmed Musa","ATT","Nigeria","CSKA Moscow"
"Kelechi Iheanacho","ATT","Nigeria","Leicester City"
"Victor Moses","ATT","Nigeria","Chelsea"
"Odion Ighalo","ATT","Nigeria","Changchun Yatai"
"Alex Iwobi","ATT","Nigeria","Arsenal"
"Simeon Nwankwo","ATT","Nigeria","Crotone"
"Alisson","GK","Brazil","Roma"
"Ederson","GK","Brazil","Manchester City"
"Cassio","GK","Brazil","Corinthians"
"Danilo","DEF","Brazil","Manchester City"
"Fagner","DEF","Brazil","Corinthians"
"Marcelo","DEF","Brazil","Real Madrid"
"Filipe Luis","DEF","Brazil","Atletico Madrid"
"Thiago Silva","DEF","Brazil","PSG"
"Marquinhos","DEF","Brazil","PSG"
"Miranda","DEF","Brazil","Inter Milan"
"Pedro Geromel","DEF","Brazil","Gremio"
"Casemiro","MID","Brazil","Real Madrid"
"Fernandinho","MID","Brazil","Manchester City"
"Paulinho","MID","Brazil","Barcelona"
"Fred","MID","Brazil","Shakhtar Donetsk"
"Renato Augusto","MID","Brazil","Beijing Guoan"
"Philippe Coutinho","MID","Brazil","Barcelona"
"Willian","MID","Brazil","Chelsea"
"Douglas Costa","MID","Brazil","Juventus"
"Neymar","ATT","Brazil","PSG"
"Taison","ATT","Brazil","Shakhtar Donetsk"
"Gabriel Jesus","ATT","Brazil","Manchester City"
"Roberto Firmino","ATT","Brazil","Liverpool"
"Keylor Navas","GK","Costa Rica","Real Madrid"
"Patrick Pemberton","GK","Costa Rica","Liga Deportiva Alajuelense"
"Leonel Moreira","GK","Costa Rica","CS Herediano"
"Cristian Gamboa","DEF","Costa Rica","Celtic"
"Ian Smith","DEF","Costa Rica","Santos de Guapiles FC"
"Ronald Matarrita","DEF","Costa Rica","New York City"
"Bryan Oviedo","DEF","Costa Rica","Sunderland"
"Oscar Duarte","DEF","Costa Rica","Espanyol"
"Giancarlo Gonzalez","DEF","Costa Rica","Bologna"
"Francisco Calvo","DEF","Costa Rica","Minnesota United"
"Kendall Waston","DEF","Costa Rica","Vancouver Whitecaps"
"Johnny Acosta","DEF","Costa Rica","Rionegro Aguilas"
"David Guzman","MID","Costa Rica","Portland Timbers"
"Yeltsin Tejeda","MID","Costa Rica","FC Lausanne-Sport"
"Celso Borges","MID","Costa Rica","Deportivo de La Coruna"
"Randall Azofeifa","MID","Costa Rica","CS Herediano"
"Rodney Wallace","MID","Costa Rica","New York City"
"Bryan Ruiz","MID","Costa Rica","Sporting"
"Daniel Colindres","MID","Costa Rica","Deportivo Saprissa"
"Christian Bolanos","MID","Costa Rica","Deportivo Saprissa"
"Johan Venegas","ATT","Costa Rica","Deportivo Saprissa"
"Joel Campbell","ATT","Costa Rica","Real Betis"
"Marco Urena","ATT","Costa Rica","Los Angeles FC"
"Vladimir Stojkovic","GK","Serbia","Partizan Belgrade"
"Predrag Rajkovic","GK","Serbia","Maccabi Tel Aviv"
"Marko Dmitrovic","GK","Serbia","Eibar"
"Aleksandar Kolarov","DEF","Serbia","AS Roma"
"Branislav Ivanovic","DEF","Serbia","Zenit St Petersburg"
"Dusko Tosic","DEF","Serbia","Guangzhou R&F"
"Antonio Rukavina","DEF","Serbia","Villarreal"
"Milos Veljkovic","DEF","Serbia","Werder Bremen"
"Milan Rodic","DEF","Serbia","Red Star Belgrade"
"Uros Spajic","DEF","Serbia","Krasnodar"
"Nikola Milenkovic","DEF","Serbia","Fiorentina"
"Nemanja Matic","MID","Serbia","Manchester United"
"Luka Milivojevic","MID","Serbia","Crystal Palace"
"Sergej Milinkovic-Savic","MID","Serbia","Lazio"
"Marko Grujic","MID","Serbia","Liverpool"
"Adem Ljajic","MID","Serbia","Torino"
"Dusan Tadic","MID","Serbia","Southampton"
"Filip Kostic","MID","Serbia","Hamburg SV"
"Andrija Zivkovic","MID","Serbia","Benfica"
"Nemanja Radonjic","MID","Serbia","Red Star Belgrade"
"Aleksandar Mitrovic","ATT","Serbia","Newcastle United"
"Aleksandar Prijovic","ATT","Serbia","PAOK Salonika"
"Luka Jovic","ATT","Serbia","Benfica"
"Yann Sommer","GK","Switzerland","Borussia Mönchengladbach"
"Roman Bürki","GK","Switzerland","Borussia Dortmund"
"Yvon Mvogo","GK","Switzerland","RB Leipzig"
"Stephan Lichtsteiner","DEF","Switzerland","Juventus"
"Johan Djourou","DEF","Switzerland","Antalyaspor"
"Ricardo Rodríguez","DEF","Switzerland","Milan"
"Fabian Schär","DEF","Switzerland","Deportivo La Coruna"
"François Moubandje","DEF","Switzerland","Toulouse"
"Michael Lang","DEF","Switzerland","Basel"
"Manuel Akanji","DEF","Switzerland","Borussia Dortmund"
"Nico Elvedi","DEF","Switzerland","Borussia Mönchengladbach"
"Valon Behrami","MID","Switzerland","Udinese"
"Xherdan Shaqiri","MID","Switzerland","Stoke"
"Gelson Fernandes","MID","Switzerland","Eintracht Frankfurt"
"Blerim Džemaili","MID","Switzerland","Bologna"
"Granit Xhaka","MID","Switzerland","Arsenal"
"Steven Zuber","MID","Switzerland","1899 Hoffenheim"
"Remo Freuler","MID","Switzerland","Atalanta"
"Denis Zakaria","MID","Switzerland","Borussia Mönchengladbach"
"Haris Seferović","ATT","Switzerland","Benfica"
"Josip Drmić","ATT","Switzerland","Borussia Mönchengladbach"
"Breel Embolo","ATT","Switzerland","Schalke 04"
"Mario Gavranović","ATT","Switzerland","Dinamo Zagreb"
"Manuel Neuer","GK","Germany","Bayern Munich"
"Marc-Andre ter Stegen","GK","Germany","Barcelona"
"Kevin Trapp","GK","Germany","Paris St-Germain"
"Jerome Boateng","DEF","Germany","Bayern Munich"
"Matthias Ginter","DEF","Germany","Borussia Monchengladbach"
"Jonas Hector","DEF","Germany","Cologne"
"Mats Hummels","DEF","Germany","Bayern Munich"
"Joshua Kimmich","DEF","Germany","Bayern Munich"
"Marvin Plattenhardt","DEF","Germany","Hertha Berlin"
"Antonio Rudiger","DEF","Germany","Chelsea"
"Niklas Sule","DEF","Germany","Bayern Munich"
"Julian Brandt","MID","Germany","Bayer Leverkusen"
"Julian Draxler","MID","Germany","Paris St-Germain"
"Leon Goretska","MID","Germany","Schalke"
"Ilkay Gundogan","MID","Germany","Manchester City"
"Sami Khedira","MID","Germany","Juventus"
"Toni Kroos","MID","Germany","Real Madrid"
"Mesut Ozil","MID","Germany","Arsenal"
"Sebastian Rudy","MID","Germany","Bayern Munich"
"Mario Gomez","ATT","Germany","Stuttgart"
"Thomas Muller","ATT","Germany","Bayern Munich"
"Marco Reus","ATT","Germany","Borussia Dortmund"
"Timo Werner","ATT","Germany","RB Leipzig"
"Guillermo Ochoa","GK","Mexico","Standard Liege"
"Alfredo Talavera","GK","Mexico","Toluca"
"Jesus Corona","GK","Mexico","Cruz Azul"
"Carlos Salcedo","DEF","Mexico","Eintracht Frankfurt"
"Diego Reyes","DEF","Mexico","Porto"
"Hector Moreno","DEF","Mexico","Real Sociedad"
"Hugo Ayala","DEF","Mexico","Tigres"
"Edson Alvarez","DEF","Mexico","America"
"Jesus Gallardo","DEF","Mexico","Monterrey"
"Miguel Layun","DEF","Mexico","Sevilla"
"Erick Gutierrez","DEF","Mexico","Pachuca"
"Rafael Marquez","MID","Mexico","Atlas"
"Hector Herrera","MID","Mexico","Porto"
"Jonathan Dos Santos","MID","Mexico","LA Galaxy"
"Giovani Dos Santos","MID","Mexico","LA Galaxy"
"Andres Guardado","MID","Mexico","Real Betis"
"Marco Fabian","MID","Mexico","Eintracht Frankfurt"
"Javier Hernandez","ATT","Mexico","West Ham"
"Raul Jimenez","ATT","Mexico","Benfica"
"Oribe Peralta","ATT","Mexico","America"
"Jesus Manuel Corona","ATT","Mexico","Porto"
"Carlos Vela","ATT","Mexico","Los Angeles FC"
"Javier Aquino","ATT","Mexico","Tigres"
"Hirving Lozano","ATT","Mexico","PSV Eindhoven"
"Kim Seung-gyu","GK","South Korea","Vissel Kobe"
"Kim Jin-hyeon","GK","South Korea","Cerezo Osaka"
"Cho Hyun-woo","GK","South Korea","Daegu FC"
"Kim Young-gwon","DEF","South Korea","Guangzhou Evergrande"
"Jang Hyun-soo","DEF","South Korea","FC Tokyo"
